Country,Subregion,Region
Namibia,Sub-Saharan Africa,Africa
Serbia Montenegro,Southern Europe,Europe
Malaysia,South-eastern Asia,Asia
Thailand,South-eastern Asia,Asia
Türkiye,Western Asia,Asia
Malawi,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Mauritania,Sub-Saharan Africa,Africa
Morocco,Northern Africa,Africa
Peru,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Switzerland,Western Europe,Europe
Germany,Western Europe,Europe
France,Western Europe,Europe
Italy,Southern Europe,Europe
China,Eastern Asia,Asia
Timor-Leste,South-eastern Asia,Asia
Romania,Eastern Europe,Europe
United States of America,Northern America,Americas
Nepal,Southern Asia,Asia
Mali,Sub-Saharan Africa,Africa
Niger,Sub-Saharan Africa,Africa
Burkina Faso,Sub-Saharan Africa,Africa
Botswana,Sub-Saharan Africa,Africa
Côte d’Ivoire,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
China,Eastern Asia,Asia
Australia,Australia and New Zealand,Oceania
Colombia,Latin America and the Caribbean,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Kyrgyzstan,Central Asia,Asia
Peru,Latin America and the Caribbean,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Peru,Latin America and the Caribbean,Americas
Bulgaria,Eastern Europe,Europe
Algeria,Northern Africa,Africa
Egypt,Northern Africa,Africa
China,Eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Colombia,Latin America and the Caribbean,Americas
Australia,Australia and New Zealand,Oceania
Austria,Western Europe,Europe
Bulgaria,Eastern Europe,Europe
Czechia,Eastern Europe,Europe
Germany,Western Europe,Europe
Croatia,Southern Europe,Europe
Hungary,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Serbia Montenegro,Southern Europe,Europe
Slovakia,Eastern Europe,Europe
Bahrain,Western Asia,Asia
Cameroon,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Brazil,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Yemen,Western Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Djibouti,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Ghana,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
United States of America,Northern America,Americas
South Africa,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Guinea,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
Syrian Arab Republic,Western Asia,Asia
Philippines,South-eastern Asia,Asia
India,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
Indonesia,South-eastern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Peru,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
China,Eastern Asia,Asia
Uganda,Sub-Saharan Africa,Africa
Brazil,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Canada,Northern America,Americas
Ethiopia,Sub-Saharan Africa,Africa
Papua New Guinea,Melanesia,Oceania
Canada,Northern America,Americas
India,Southern Asia,Asia
Georgia,Western Asia,Asia
Bulgaria,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Ukraine,Eastern Europe,Europe
Viet Nam,South-eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Peru,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
United Republic of Tanzania,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Italy,Southern Europe,Europe
Russian Federation,Eastern Europe,Europe
Afghanistan,Southern Asia,Asia
Papua New Guinea,Melanesia,Oceania
New Zealand,Australia and New Zealand,Oceania
Canada,Northern America,Americas
Russian Federation,Eastern Europe,Europe
Malaysia,South-eastern Asia,Asia
China,Eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Burundi,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Afghanistan,Southern Asia,Asia
India,Southern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Myanmar,South-eastern Asia,Asia
Argentina,Latin America and the Caribbean,Americas
Somalia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Nepal,Southern Asia,Asia
Suriname,Latin America and the Caribbean,Americas
Egypt,Northern Africa,Africa
Cameroon,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Pakistan,Southern Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
Tajikistan,Central Asia,Asia
United States of America,Northern America,Americas
India,Southern Asia,Asia
Burundi,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Canada,Northern America,Americas
Bangladesh,Southern Asia,Asia
India,Southern Asia,Asia
India,Southern Asia,Asia
China,Eastern Asia,Asia
India,Southern Asia,Asia
China,Eastern Asia,Asia
Morocco,Northern Africa,Africa
Burundi,Sub-Saharan Africa,Africa
Canada,Northern America,Americas
Thailand,South-eastern Asia,Asia
Afghanistan,Southern Asia,Asia
Cuba,Latin America and the Caribbean,Americas
Kenya,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Malta,Southern Europe,Europe
Indonesia,South-eastern Asia,Asia
China,Eastern Asia,Asia
Vanuatu,Melanesia,Oceania
Comoros,Sub-Saharan Africa,Africa
Ecuador,Latin America and the Caribbean,Americas
Benin,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Guinea,Sub-Saharan Africa,Africa
Türkiye,Western Asia,Asia
Sudan,Northern Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Afghanistan,Southern Asia,Asia
Türkiye,Western Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Poland,Eastern Europe,Europe
Slovakia,Eastern Europe,Europe
India,Southern Asia,Asia
China,Eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
South Africa,Sub-Saharan Africa,Africa
Senegal,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Zimbabwe,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Romania,Eastern Europe,Europe
Equatorial Guinea,Sub-Saharan Africa,Africa
Niger,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Sierra Leone,Sub-Saharan Africa,Africa
Somalia,Sub-Saharan Africa,Africa
Burundi,Sub-Saharan Africa,Africa
Cuba,Latin America and the Caribbean,Americas
Romania,Eastern Europe,Europe
Namibia,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Guinea,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Cameroon,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Ukraine,Eastern Europe,Europe
Türkiye,Western Asia,Asia
Romania,Eastern Europe,Europe
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Honduras,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
China,Eastern Asia,Asia
United States of America,Northern America,Americas
India,Southern Asia,Asia
Nepal,Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
United States of America,Northern America,Americas
Pakistan,Southern Asia,Asia
Morocco,Northern Africa,Africa
Spain,Southern Europe,Europe
Romania,Eastern Europe,Europe
Czechia,Eastern Europe,Europe
Peru,Latin America and the Caribbean,Americas
Togo,Sub-Saharan Africa,Africa
Germany,Western Europe,Europe
China,Eastern Asia,Asia
Egypt,Northern Africa,Africa
Pakistan,Southern Asia,Asia
Germany,Western Europe,Europe
China,Eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Republic of Korea,Eastern Asia,Asia
Democratic People's Republic of Korea,Eastern Asia,Asia
China,Eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Chile,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Afghanistan,Southern Asia,Asia
Pakistan,Southern Asia,Asia
Viet Nam,South-eastern Asia,Asia
China,Eastern Asia,Asia
Cambodia,South-eastern Asia,Asia
India,Southern Asia,Asia
India,Southern Asia,Asia
China,Eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Ecuador,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
Mali,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Japan,Eastern Asia,Asia
Colombia,Latin America and the Caribbean,Americas
Cameroon,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Belgium,Western Europe,Europe
Germany,Western Europe,Europe
Spain,Southern Europe,Europe
France,Western Europe,Europe
Netherlands (Kingdom of the),Western Europe,Europe
Portugal,Southern Europe,Europe
China,Eastern Asia,Asia
Cameroon,Sub-Saharan Africa,Africa
Tunisia,Northern Africa,Africa
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
India,Southern Asia,Asia
Pakistan,Southern Asia,Asia
Japan,Eastern Asia,Asia
Mauritania,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
China,Eastern Asia,Asia
Bangladesh,Southern Asia,Asia
United States of America,Northern America,Americas
Bahrain,Western Asia,Asia
China,Eastern Asia,Asia
Senegal,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Morocco,Northern Africa,Africa
Afghanistan,Southern Asia,Asia
Tajikistan,Central Asia,Asia
Malta,Southern Europe,Europe
Mexico,Latin America and the Caribbean,Americas
Afghanistan,Southern Asia,Asia
Nepal,Southern Asia,Asia
China,Eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Mexico,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
Pakistan,Southern Asia,Asia
Philippines,South-eastern Asia,Asia
Afghanistan,Southern Asia,Asia
India,Southern Asia,Asia
Pakistan,Southern Asia,Asia
United States of America,Northern America,Americas
Switzerland,Western Europe,Europe
China,Eastern Asia,Asia
Saudi Arabia,Western Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Sudan,Northern Africa,Africa
Somalia,Sub-Saharan Africa,Africa
Afghanistan,Southern Asia,Asia
Zimbabwe,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Türkiye,Western Asia,Asia
Viet Nam,South-eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
Eswatini,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Sudan,Northern Africa,Africa
India,Southern Asia,Asia
Spain,Southern Europe,Europe
Burkina Faso,Sub-Saharan Africa,Africa
Mali,Sub-Saharan Africa,Africa
Mauritania,Sub-Saharan Africa,Africa
Niger,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Viet Nam,South-eastern Asia,Asia
Sudan,Northern Africa,Africa
Philippines,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Cambodia,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Algeria,Northern Africa,Africa
Hungary,Eastern Europe,Europe
Egypt,Northern Africa,Africa
Egypt,Northern Africa,Africa
Ukraine,Eastern Europe,Europe
Egypt,Northern Africa,Africa
Burkina Faso,Sub-Saharan Africa,Africa
North Macedonia,Southern Europe,Europe
United States of America,Northern America,Americas
Uganda,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
India,Southern Asia,Asia
Haiti,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
India,Southern Asia,Asia
Iraq,Western Asia,Asia
India,Southern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Morocco,Northern Africa,Africa
Nepal,Southern Asia,Asia
China,Eastern Asia,Asia
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Mozambique,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
India,Southern Asia,Asia
Burundi,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Mexico,Latin America and the Caribbean,Americas
Iran (Islamic Republic of),Southern Asia,Asia
Côte d’Ivoire,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Ghana,Sub-Saharan Africa,Africa
Côte d’Ivoire,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
Russian Federation,Eastern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Comoros,Sub-Saharan Africa,Africa
Türkiye,Western Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Romania,Eastern Europe,Europe
India,Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Japan,Eastern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Burkina Faso,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
India,Southern Asia,Asia
Niger,Sub-Saharan Africa,Africa
Comoros,Sub-Saharan Africa,Africa
Kazakhstan,Central Asia,Asia
Ukraine,Eastern Europe,Europe
Jordan,Western Asia,Asia
China,Eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Syrian Arab Republic,Western Asia,Asia
Brazil,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Egypt,Northern Africa,Africa
Egypt,Northern Africa,Africa
Pakistan,Southern Asia,Asia
Nepal,Southern Asia,Asia
Ecuador,Latin America and the Caribbean,Americas
Mali,Sub-Saharan Africa,Africa
Morocco,Northern Africa,Africa
Germany,Western Europe,Europe
Thailand,South-eastern Asia,Asia
Guinea,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Mali,Sub-Saharan Africa,Africa
Guatemala,Latin America and the Caribbean,Americas
Guatemala,Latin America and the Caribbean,Americas
Argentina,Latin America and the Caribbean,Americas
Papua New Guinea,Melanesia,Oceania
Greece,Southern Europe,Europe
Japan,Eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Myanmar,South-eastern Asia,Asia
United States of America,Northern America,Americas
India,Southern Asia,Asia
Pakistan,Southern Asia,Asia
India,Southern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Greece,Southern Europe,Europe
Mexico,Latin America and the Caribbean,Americas
Italy,Southern Europe,Europe
Philippines,South-eastern Asia,Asia
France,Western Europe,Europe
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Greece,Southern Europe,Europe
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Bangladesh,Southern Asia,Asia
Uzbekistan,Central Asia,Asia
France,Western Europe,Europe
Panama,Latin America and the Caribbean,Americas
Morocco,Northern Africa,Africa
United States of America,Northern America,Americas
Nepal,Southern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Syrian Arab Republic,Western Asia,Asia
Morocco,Northern Africa,Africa
China,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Chile,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
China,Eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
Kenya,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Afghanistan,Southern Asia,Asia
Congo,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Iraq,Western Asia,Asia
Philippines,South-eastern Asia,Asia
India,Southern Asia,Asia
Sri Lanka,Southern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Philippines,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Sudan,Northern Africa,Africa
Japan,Eastern Asia,Asia
Spain,Southern Europe,Europe
Portugal,Southern Europe,Europe
Somalia,Sub-Saharan Africa,Africa
Türkiye,Western Asia,Asia
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Republic of Korea,Eastern Asia,Asia
Democratic People's Republic of Korea,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Somalia,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
China,Eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Poland,Eastern Europe,Europe
Guatemala,Latin America and the Caribbean,Americas
Zambia,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Morocco,Northern Africa,Africa
Chad,Sub-Saharan Africa,Africa
Panama,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Rwanda,Sub-Saharan Africa,Africa
Panama,Latin America and the Caribbean,Americas
Philippines,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Malawi,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
Haiti,Latin America and the Caribbean,Americas
Jamaica,Latin America and the Caribbean,Americas
India,Southern Asia,Asia
Morocco,Northern Africa,Africa
Viet Nam,South-eastern Asia,Asia
Australia,Australia and New Zealand,Oceania
Indonesia,South-eastern Asia,Asia
United States of America,Northern America,Americas
Pakistan,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
Somalia,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
Philippines,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Yemen,Western Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Senegal,Sub-Saharan Africa,Africa
Pakistan,Southern Asia,Asia
Mali,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Uganda,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Malaysia,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Guinea,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
Madagascar,Sub-Saharan Africa,Africa
Taiwan (Province of China),Eastern Asia,Asia
Burkina Faso,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Mexico,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
China,Eastern Asia,Asia
Kyrgyzstan,Central Asia,Asia
Indonesia,South-eastern Asia,Asia
Burkina Faso,Sub-Saharan Africa,Africa
El Salvador,Latin America and the Caribbean,Americas
Mali,Sub-Saharan Africa,Africa
Burundi,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Indonesia,South-eastern Asia,Asia
United States of America,Northern America,Americas
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Guatemala,Latin America and the Caribbean,Americas
Mexico,Latin America and the Caribbean,Americas
El Salvador,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Chad,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Papua New Guinea,Melanesia,Oceania
Haiti,Latin America and the Caribbean,Americas
United Republic of Tanzania,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Congo,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Jamaica,Latin America and the Caribbean,Americas
United Republic of Tanzania,Sub-Saharan Africa,Africa
Nicaragua,Latin America and the Caribbean,Americas
Uganda,Sub-Saharan Africa,Africa
Sudan,Northern Africa,Africa
Democratic People's Republic of Korea,Eastern Asia,Asia
Paraguay,Latin America and the Caribbean,Americas
Panama,Latin America and the Caribbean,Americas
Montserrat,Latin America and the Caribbean,Americas
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
China,Eastern Asia,Asia
Pakistan,Southern Asia,Asia
India,Southern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
India,Southern Asia,Asia
Japan,Eastern Asia,Asia
United States of America,Northern America,Americas
United States of America,Northern America,Americas
China,Eastern Asia,Asia
China,Eastern Asia,Asia
India,Southern Asia,Asia
Cambodia,South-eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Somalia,Sub-Saharan Africa,Africa
Pakistan,Southern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
India,Southern Asia,Asia
United States of America,Northern America,Americas
Peru,Latin America and the Caribbean,Americas
Guinea-Bissau,Sub-Saharan Africa,Africa
Lithuania,Northern Europe,Europe
Mali,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
Afghanistan,Southern Asia,Asia
Nepal,Southern Asia,Asia
China,Eastern Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Bangladesh,Southern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Pakistan,Southern Asia,Asia
Malawi,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Angola,Sub-Saharan Africa,Africa
Zambia,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Sri Lanka,Southern Asia,Asia
Iraq,Western Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
India,Southern Asia,Asia
Mozambique,Sub-Saharan Africa,Africa
Austria,Western Europe,Europe
Belgium,Western Europe,Europe
Belarus,Eastern Europe,Europe
Switzerland,Western Europe,Europe
Czechia,Eastern Europe,Europe
Germany,Western Europe,Europe
Denmark,Northern Europe,Europe
France,Western Europe,Europe
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
Netherlands (Kingdom of the),Western Europe,Europe
Poland,Eastern Europe,Europe
Slovenia,Southern Europe,Europe
Ukraine,Eastern Europe,Europe
Mozambique,Sub-Saharan Africa,Africa
Malaysia,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Yemen,Western Asia,Asia
Thailand,South-eastern Asia,Asia
United States of America,Northern America,Americas
Angola,Sub-Saharan Africa,Africa
Burundi,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Saudi Arabia,Western Asia,Asia
China,Eastern Asia,Asia
Madagascar,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Mozambique,Sub-Saharan Africa,Africa
Iraq,Western Asia,Asia
Egypt,Northern Africa,Africa
Switzerland,Western Europe,Europe
Germany,Western Europe,Europe
Spain,Southern Europe,Europe
France,Western Europe,Europe
Russian Federation,Eastern Europe,Europe
Mexico,Latin America and the Caribbean,Americas
Peru,Latin America and the Caribbean,Americas
Malawi,Sub-Saharan Africa,Africa
Zambia,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Syrian Arab Republic,Western Asia,Asia
South Africa,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Philippines,South-eastern Asia,Asia
United States of America,Northern America,Americas
Colombia,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Greece,Southern Europe,Europe
China,Eastern Asia,Asia
Chile,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Thailand,South-eastern Asia,Asia
Angola,Sub-Saharan Africa,Africa
Zambia,Sub-Saharan Africa,Africa
Cameroon,Sub-Saharan Africa,Africa
Rwanda,Sub-Saharan Africa,Africa
Argentina,Latin America and the Caribbean,Americas
Burkina Faso,Sub-Saharan Africa,Africa
Côte d’Ivoire,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Canada,Northern America,Americas
United States of America,Northern America,Americas
Indonesia,South-eastern Asia,Asia
Romania,Eastern Europe,Europe
Madagascar,Sub-Saharan Africa,Africa
Viet Nam,South-eastern Asia,Asia
Ecuador,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Greece,Southern Europe,Europe
Namibia,Sub-Saharan Africa,Africa
Namibia,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Mozambique,Sub-Saharan Africa,Africa
Zimbabwe,Sub-Saharan Africa,Africa
Colombia,Latin America and the Caribbean,Americas
Zimbabwe,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
